type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.171252000,-86.769445000,130.0,90.0,0.8,6.028,11.25,,
T,36.171303000,-86.769288000,130.1,68.1,0.7,6.044,15.22,,
T,36.171346000,-86.769139000,130.1,70.3,0.3,6.058,14.23,,
T,36.171347000,-86.769137000,130.1,58.2,0.5,6.058,0.21,,
T,36.171354000,-86.769100000,130.2,76.8,0.4,6.061,3.42,,
T,36.171374000,-86.769002000,130.2,75.8,0.5,6.070,9.09,,
T,36.171593000,-86.768436000,132.2,64.4,3.5,6.127,56.42,,
T,36.171738000,-86.768060000,133.3,64.5,2.9,6.164,37.46,,
T,36.171767000,-86.767986000,132.9,64.1,-4.3,6.172,7.39,,
T,36.171849000,-86.767775000,132.6,64.3,-1.7,6.193,21.05,,
T,36.171946000,-86.767524000,133.1,64.4,1.9,6.218,25.02,,
T,36.172059000,-86.767263000,133.7,61.8,2.5,6.244,26.62,,
T,36.172363000,-86.766470000,136.1,64.6,2.9,6.323,78.92,,
T,36.172504000,-86.766157000,136.7,60.8,2.0,6.356,32.21,,
T,36.172595000,-86.766007000,136.4,53.1,-1.7,6.372,16.85,,
T,36.172721000,-86.765662000,137.1,65.7,2.0,6.406,34.04,,
T,36.172846000,-86.765337000,139.2,64.5,6.6,6.439,32.36,,
T,36.172989000,-86.765358000,139.1,353.2,-0.6,6.455,15.98,,
T,36.173568000,-86.765672000,137.4,336.4,-2.5,6.525,70.18,,
T,36.173628000,-86.765705000,137.1,336.1,-4.2,6.532,7.29,,
T,36.173770000,-86.765750000,136.1,345.7,-5.7,6.549,16.27,,
T,36.173985000,-86.765775000,134.9,354.6,-5.0,6.573,23.96,,
T,36.174568000,-86.765734000,131.7,3.2,-5.0,6.637,64.80,,
T,36.174993000,-86.765717000,129.8,1.8,-4.1,6.685,47.18,,
T,36.175208000,-86.765755000,130.1,351.9,1.6,6.709,24.10,,
T,36.175336000,-86.765786000,130.3,348.9,1.2,6.723,14.47,,
T,36.175464000,-86.765832000,130.5,343.8,1.3,6.738,14.79,,
T,36.175579000,-86.765890000,130.7,337.8,1.5,6.752,13.79,,
T,36.175700000,-86.765972000,131.0,331.3,1.9,6.767,15.32,,
T,36.175835000,-86.766090000,131.2,324.8,1.3,6.785,18.36,,
T,36.175965000,-86.766245000,131.3,316.1,0.3,6.805,20.06,,
T,36.176051000,-86.766364000,131.0,311.8,-2.1,6.820,14.34,,
T,36.176108000,-86.766446000,130.8,310.7,-2.4,6.829,9.72,,
T,36.176154000,-86.766528000,130.5,304.8,-2.6,6.838,8.97,,
T,36.176218000,-86.766685000,131.7,296.8,7.6,6.854,15.81,,
T,36.176280000,-86.766892000,134.8,290.4,15.6,6.874,19.85,,
T,36.176323000,-86.767114000,138.1,283.5,15.7,6.895,20.53,,
T,36.176400000,-86.767729000,139.0,278.8,1.7,6.951,55.98,,
T,36.176576000,-86.769729000,134.1,276.2,-2.7,7.132,180.98,,
T,36.176609000,-86.770155000,133.4,275.5,-1.7,7.170,38.50,,
T,36.176817000,-86.770690000,132.2,295.7,-2.3,7.223,53.38,,
T,36.176939000,-86.770845000,131.8,314.3,-1.9,7.243,19.43,,
T,36.177058000,-86.771008000,131.4,312.1,-2.2,7.263,19.73,,
T,36.177418000,-86.771256000,130.9,330.9,-1.0,7.308,45.75,,
T,36.177889000,-86.771583000,130.6,330.7,-0.6,7.368,59.97,,
T,36.178297000,-86.772092000,129.8,314.8,-1.1,7.433,64.39,,
T,36.178379000,-86.772219000,129.8,308.7,-0.5,7.447,14.61,,
T,36.178657000,-86.772646000,129.3,308.9,-1.0,7.497,49.27,,
T,36.178772000,-86.772785000,129.2,315.7,-0.6,7.514,17.87,,
T,36.178997000,-86.773011000,129.3,321.0,0.3,7.547,32.20,,
T,36.179302000,-86.773213000,129.3,331.9,0.2,7.585,38.41,,
T,36.179651000,-86.773350000,129.7,342.4,1.0,7.626,40.64,,
T,36.180911000,-86.773572000,128.9,351.9,-0.6,7.767,141.23,,
T,36.181258000,-86.773627000,129.0,352.7,0.2,7.806,38.82,,
T,36.181562000,-86.773674000,129.3,352.9,0.8,7.840,34.00,,
T,36.182424000,-86.773805000,129.2,353.0,-0.0,7.936,96.37,,
T,36.182753000,-86.773833000,129.3,356.1,0.2,7.973,36.59,,
T,36.183141000,-86.773866000,129.2,356.1,-0.2,8.016,43.16,,
T,36.183190000,-86.773878000,129.2,348.8,-0.7,8.021,5.54,,
T,36.183244000,-86.773871000,129.2,6.0,0.3,8.027,6.02,,
T,36.183368000,-86.773854000,129.2,6.3,0.2,8.041,13.84,,
T,36.183575000,-86.773833000,129.2,4.7,-0.2,8.064,23.05,,
T,36.183709000,-86.773818000,129.1,5.2,-0.4,8.079,14.93,,
T,36.183936000,-86.773792000,129.1,5.3,-0.1,8.105,25.30,,
T,36.183978000,-86.773787000,129.1,5.5,-0.0,8.109,4.68,,
T,36.184419000,-86.773729000,128.9,6.1,-0.4,8.158,49.21,,
T,36.184598000,-86.773705000,128.7,6.2,-0.7,8.178,19.98,,
T,36.184853000,-86.773679000,128.8,4.7,0.0,8.207,28.39,,
T,36.184915000,-86.773671000,128.8,5.9,0.1,8.214,6.92,,
T,36.185079000,-86.773651000,128.8,5.6,0.0,8.232,18.29,,
T,36.185587000,-86.773589000,128.6,5.6,-0.4,8.289,56.64,,
T,36.186177000,-86.773516000,127.9,5.7,-1.1,8.355,65.80,,
T,36.186613000,-86.773462000,127.6,5.7,-0.5,8.403,48.62,,
T,36.186842000,-86.773434000,127.6,5.6,-0.2,8.429,25.53,,
T,36.186979000,-86.773417000,127.5,5.7,-0.4,8.444,15.28,,
T,36.187449000,-86.773359000,127.3,5.7,-0.3,8.496,52.41,,
T,36.188804000,-86.773152000,130.0,7.0,1.8,8.648,151.50,,
