type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.195307000,-86.772159000,9.6,9.375,8.56,,
T,36.195597000,-86.772104000,8.7,9.408,32.56,,
T,36.196057000,-86.772005000,9.9,9.460,51.81,,
T,36.196079000,-86.771996000,18.3,9.462,2.57,,
T,36.196452000,-86.771849000,17.6,9.506,43.45,,
T,36.196592000,-86.771774000,23.4,9.523,16.94,,
T,36.196847000,-86.771637000,23.4,9.554,30.86,,
T,36.196922000,-86.771597000,23.3,9.563,9.07,,
T,36.196955000,-86.771579000,23.8,9.567,4.00,,
T,36.197244000,-86.771425000,23.3,9.602,34.93,,
T,36.197621000,-86.771221000,23.6,9.647,45.68,,
T,36.197831000,-86.771108000,23.5,9.673,25.42,,
T,36.198348000,-86.770828000,23.6,9.735,62.65,,
T,36.198495000,-86.770749000,23.4,9.753,17.79,,
T,36.199012000,-86.770476000,23.1,9.815,62.40,,
T,36.199260000,-86.770345000,23.1,9.845,29.93,,
T,36.199401000,-86.770271000,23.0,9.862,17.00,,
T,36.199469000,-86.770235000,23.1,9.871,8.21,,
T,36.199620000,-86.770155000,23.1,9.889,18.23,,
T,36.199887000,-86.770033000,20.2,9.920,31.59,,
T,36.199938000,-86.770009000,20.8,9.927,6.06,,
T,36.200092000,-86.769939000,20.1,9.945,18.21,,
T,36.200155000,-86.769910000,20.4,9.952,7.46,,
T,36.200186000,-86.769900000,14.6,9.956,3.56,,
T,36.200329000,-86.769857000,13.6,9.972,16.33,,
T,36.200808000,-86.769681000,16.5,10.028,55.46,,
T,36.201124000,-86.769618000,9.1,10.063,35.52,,
T,36.201218000,-86.769599000,9.3,10.074,10.57,,
T,36.201763000,-86.769490000,9.2,10.135,61.26,,
T,36.201763000,-86.769490000,9.2,10.135,0.00,,
T,36.201903000,-86.769462000,9.2,10.151,15.74,,
T,36.202193000,-86.769404000,9.2,10.183,32.60,,
T,36.202476000,-86.769349000,8.9,10.215,31.79,,
T,36.202677000,-86.769311000,8.7,10.238,22.56,,
T,36.203164000,-86.769216000,8.9,10.292,54.71,,
T,36.203238000,-86.769202000,8.7,10.301,8.31,,
T,36.203714000,-86.769109000,9.0,10.354,53.48,,
T,36.203969000,-86.769060000,8.8,10.383,28.64,,
T,36.204153000,-86.769024000,9.0,10.403,20.67,,
T,36.204208000,-86.769013000,9.2,10.410,6.18,,
T,36.204714000,-86.768915000,8.9,10.466,56.83,,
T,36.204800000,-86.768898000,9.1,10.476,9.66,,
T,36.204836000,-86.768891000,8.9,10.480,4.04,,
T,36.205221000,-86.768787000,12.3,10.524,43.73,,
T,36.205304000,-86.768765000,12.1,10.533,9.42,,
T,36.205484000,-86.768716000,12.4,10.554,20.45,,
T,36.205780000,-86.768619000,14.8,10.588,33.98,,
T,36.205892000,-86.768582000,14.9,10.601,12.87,,
T,36.205905000,-86.768783000,274.6,10.619,18.13,,
T,36.205918000,-86.768980000,274.7,10.636,17.77,,
T,36.205944000,-86.769382000,274.6,10.673,36.27,,
T,36.205964000,-86.769691000,274.6,10.701,27.88,,
T,36.206089000,-86.771016000,276.7,10.821,119.96,,
T,36.206131000,-86.771163000,289.5,10.835,14.02,,
T,36.206156000,-86.771461000,275.9,10.862,26.94,,
T,36.206196000,-86.771934000,276.0,10.904,42.77,,
T,36.206232000,-86.772340000,276.3,10.941,36.73,,
T,36.206263000,-86.772698000,276.1,10.973,32.38,,
T,36.206310000,-86.773291000,275.6,11.027,53.58,,
T,36.206345000,-86.773741000,275.5,11.068,40.65,,
T,36.206411000,-86.774587000,275.5,11.144,76.43,,
T,36.206426000,-86.774783000,275.4,11.162,17.70,,
T,36.206447000,-86.775041000,275.8,11.185,23.32,,
T,36.206488000,-86.775581000,275.4,11.234,48.77,,
T,36.206515000,-86.776118000,273.6,11.282,48.38,,
T,36.206526000,-86.776340000,273.5,11.302,20.00,,
T,36.206528000,-86.776377000,273.8,11.306,3.33,,
T,36.206539000,-86.776599000,273.5,11.326,20.00,,
T,36.206549000,-86.776805000,273.4,11.344,18.56,,
T,36.206649000,-86.777612000,278.7,11.418,73.42,,
T,36.206625000,-86.777882000,263.7,11.442,24.43,,
T,36.206655000,-86.778390000,274.2,11.488,45.80,,
T,36.206673000,-86.778780000,273.3,11.523,35.13,,
T,36.206681000,-86.778954000,273.3,11.539,15.67,,
T,36.206686000,-86.779064000,273.2,11.548,9.91,,
T,36.206692000,-86.779189000,273.4,11.560,11.26,,
T,36.206696000,-86.779264000,273.8,11.567,6.76,,
T,36.206701000,-86.779369000,273.4,11.576,9.46,,
T,36.206716000,-86.779696000,273.3,11.605,29.45,,
T,36.206720000,-86.779785000,273.2,11.613,8.02,,
T,36.206738000,-86.780152000,273.5,11.647,33.06,,
T,36.206740000,-86.780212000,272.4,11.652,5.40,,
T,36.206749000,-86.780392000,273.5,11.668,16.22,,
T,36.206759000,-86.780603000,273.4,11.687,19.01,,
T,36.206770000,-86.780854000,273.1,11.710,22.60,,
T,36.206789000,-86.781037000,277.3,11.726,16.59,,
T,36.206850000,-86.781502000,279.2,11.769,42.36,,
T,36.206939000,-86.782081000,280.8,11.822,53.00,,
T,36.207008000,-86.782389000,285.5,11.850,28.74,,
T,36.207056000,-86.782607000,285.3,11.871,20.31,,
T,36.207211000,-86.783305000,285.4,11.936,65.08,,
T,36.207338000,-86.783921000,284.3,11.993,57.16,,
T,36.207375000,-86.784096000,284.7,12.009,16.26,,
T,36.207420000,-86.784305000,284.9,12.029,19.45,,
T,36.207463000,-86.784508000,284.7,12.048,18.87,,
