type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.261003000,-96.746756000,383.7,,179.9,-1.1,20.273,102.60,,,
T,40.260780000,-96.746759000,383.7,,180.6,-0.2,20.298,24.76,,,
T,40.260385000,-96.746772000,383.6,,181.4,-0.2,20.342,43.87,,,
T,40.260274000,-96.746772000,383.5,,180.0,-1.0,20.354,12.33,,,
T,40.259887000,-96.746769000,383.1,,179.7,-1.0,20.397,42.97,,,
T,40.258217000,-96.746767000,381.7,,179.9,-0.7,20.583,185.44,,,
T,40.258060000,-96.746774000,381.4,,181.9,-1.8,20.600,17.44,,,
T,40.257706000,-96.746761000,380.7,,178.4,-1.6,20.639,39.32,,,
T,40.257548000,-96.746758000,380.6,,179.2,-1.0,20.657,17.55,,,
T,40.257344000,-96.746742000,380.5,,176.6,-0.5,20.680,22.69,,,
T,40.257077000,-96.746711000,380.8,,174.9,1.2,20.709,29.76,,,
T,40.256749000,-96.746651000,379.3,,172.1,-4.2,20.746,36.78,,,
T,40.255561000,-96.746449000,378.8,,172.6,-0.3,20.879,133.03,,,
T,40.255318000,-96.746412000,380.8,,173.4,7.3,20.906,27.17,,,
T,40.254281000,-96.746329000,379.9,,176.5,-0.8,21.022,115.36,,,
T,40.253943000,-96.746316000,381.2,,178.3,3.3,21.059,37.55,,,
T,40.252513000,-96.746293000,389.0,,179.3,5.0,21.218,158.80,,,
T,40.251900000,-96.746267000,390.7,,178.1,2.5,21.286,68.10,,,
T,40.251506000,-96.746235000,390.4,,176.5,-0.8,21.330,43.83,,,
T,40.251237000,-96.746197000,389.5,,173.8,-2.8,21.360,30.04,,,
T,40.250229000,-96.746020000,388.9,,172.4,-0.6,21.473,112.94,,,
T,40.249212000,-96.745809000,391.3,,171.0,2.1,21.587,114.35,,,
T,40.248758000,-96.745712000,393.2,,170.7,3.8,21.638,51.08,,,
T,40.248205000,-96.745564000,395.8,,168.5,4.1,21.701,62.68,,,
T,40.247961000,-96.745525000,396.7,,173.0,3.4,21.728,27.30,,,
T,40.247765000,-96.745503000,397.3,,175.1,2.7,21.750,21.84,,,
T,40.247567000,-96.745494000,397.6,,178.0,1.4,21.772,22.00,,,
T,40.247437000,-96.745504000,397.5,,183.4,-0.7,21.787,14.46,,,
T,40.247295000,-96.745523000,396.7,,185.8,-5.0,21.803,15.85,,,
T,40.247173000,-96.745558000,395.2,,192.4,-10.8,21.816,13.87,,,
T,40.246984000,-96.745623000,393.2,,194.7,-9.0,21.838,21.70,,,
T,40.246845000,-96.745675000,392.2,,195.9,-6.4,21.854,16.06,,,
T,40.246606000,-96.745775000,392.9,,197.7,2.3,21.882,27.87,,,
T,40.246436000,-96.745846000,394.6,,197.7,8.7,21.902,19.82,,,
T,40.246264000,-96.745928000,397.2,,200.0,12.6,21.922,20.33,,,
T,40.246095000,-96.746000000,397.2,,198.0,0.3,21.942,19.74,,,
T,40.245910000,-96.746063000,396.3,,194.6,-4.4,21.963,21.23,,,
T,40.245748000,-96.746104000,395.5,,190.9,-4.5,21.982,18.32,,,
T,40.245641000,-96.746120000,395.0,,186.5,-3.7,21.993,11.96,,,
T,40.245470000,-96.746138000,394.4,,184.6,-3.3,22.013,19.05,,,
T,40.245214000,-96.746152000,393.7,,182.4,-2.5,22.041,28.45,,,
T,40.244158000,-96.746162000,392.9,,180.4,-0.7,22.158,117.26,,,
T,40.243152000,-96.746174000,393.2,,180.5,0.3,22.270,111.71,,,
T,40.241948000,-96.746194000,395.5,,180.7,1.7,22.404,133.70,,,
T,40.241663000,-96.746199000,396.7,,180.8,3.8,22.435,31.65,,,
T,40.240664000,-96.746209000,401.7,,180.4,4.5,22.546,110.93,,,
T,40.240181000,-96.746216000,403.8,,180.6,4.0,22.600,53.64,,,
T,40.238470000,-96.746243000,407.7,,180.7,2.0,22.790,190.00,,,
T,40.236847000,-96.746238000,405.3,,179.9,-1.3,22.970,180.22,,,
T,40.236377000,-96.746244000,404.4,,180.6,-1.6,23.022,52.19,,,
T,40.236194000,-96.746246000,404.0,,180.5,-1.9,23.043,20.32,,,
T,40.233694000,-96.746260000,404.6,,180.2,0.2,23.320,277.60,,,
T,40.230985000,-96.746280000,411.2,,180.3,2.2,23.621,300.81,,,
T,40.229882000,-96.746285000,413.1,,180.2,1.6,23.743,122.48,,,
T,40.229533000,-96.746285000,413.5,,180.0,1.2,23.782,38.75,,,
T,40.229384000,-96.746285000,413.7,,180.0,0.7,23.799,16.54,,,
T,40.229045000,-96.746287000,414.0,,180.3,1.0,23.836,37.64,,,
T,40.227374000,-96.746294000,416.1,,180.2,1.1,24.022,185.55,,,
T,40.226506000,-96.746291000,416.9,,179.8,0.8,24.118,96.38,,,
T,40.225239000,-96.746298000,417.6,,180.2,0.5,24.259,140.69,,,
T,40.222353000,-96.746320000,419.9,,180.3,0.7,24.580,320.46,,,
T,40.222247000,-96.746321000,420.0,,180.4,0.8,24.591,11.77,,,
T,40.221160000,-96.746335000,421.6,,180.6,1.3,24.712,120.71,,,
T,40.220360000,-96.746336000,422.0,,180.1,0.5,24.801,88.83,,,
T,40.220199000,-96.746349000,422.0,,183.5,0.1,24.819,17.91,,,
T,40.220100000,-96.746369000,422.0,,188.8,0.2,24.830,11.12,,,
T,40.219993000,-96.746401000,422.1,,192.9,0.3,24.842,12.19,,,
T,40.219880000,-96.746448000,422.2,,197.6,0.7,24.855,13.17,,,
T,40.219771000,-96.746513000,422.2,,204.5,0.5,24.869,13.31,,,
T,40.219676000,-96.746586000,422.2,,210.4,-0.2,24.881,12.24,,,
T,40.219595000,-96.746677000,422.2,,220.6,-0.6,24.893,11.87,,,
T,40.219524000,-96.746777000,422.1,,227.1,-0.4,24.904,11.60,,,
T,40.219464000,-96.746884000,422.2,,233.7,0.5,24.916,11.28,,,
T,40.219417000,-96.746993000,422.2,,240.5,0.4,24.926,10.65,,,
T,40.219382000,-96.747104000,422.2,,247.6,0.2,24.936,10.22,,,
T,40.219358000,-96.747214000,422.3,,254.1,0.3,24.946,9.74,,,
