Time (s),Velocity [m/s],Drag Force [N],S.O.C
1466.0255008750396,24.366413186157562,148.43052288963827,0.9135196959114708
1466.0458825556711,24.36880979071816,148.45972265405032,0.9135186800430823
1466.0597437991487,24.370451945526057,148.47973200729868,0.9135179891677686
1466.0736050426262,24.372093529069346,148.49973574742597,0.913517298292417
1466.0874662861038,24.37373238487496,148.5197075923756,0.9135166074170269
1466.1013275295813,24.375368183943507,148.53964352570136,0.9135159165415981
1466.1455598487494,24.38056847751803,148.60302982173644,0.9135137119034574
1466.1897921679174,24.385738935308673,148.66606585525736,0.9135115072649234
1466.2340244870854,24.390879770622032,148.72875399623476,0.9135093026259963
1466.2782568062535,24.395991068138258,148.79109504917042,0.913507097986676
1466.5001522507923,24.42118921607588,149.09862068184523,0.913496038207455
1466.7220476953312,24.445651628954106,149.39747089104665,0.9134849784183401
1466.94394313987,24.469384348045917,149.68769259309863,0.9134739186193317
1467.0,24.475264869289344,149.75964760546728,0.9134711246099514
1467.0258044360448,24.4771728483776,149.78299766233837,0.9134699129809473
1467.0516088720897,24.47907217254743,149.80624360719648,0.9134687013518125
1467.0774133081345,24.480962665770317,149.82938326071002,0.9134674897225445
1467.1643538730796,24.487272654584732,149.9066305149933,0.9134634074881527
1467.2512944380246,24.49348526627653,149.98270512232637,0.9134593252522848
1467.3382350029697,24.499598829776772,150.05758570499984,0.913455243014911
1467.4251755679147,24.505612984198407,150.1312669328284,0.9134511607760205
1467.6941852503685,24.52359640362029,150.3516951419145,0.9134385295879793
1467.9631949328223,24.540640571368634,150.56075991327606,0.9134258983853976
1468.0,24.542899706893113,150.5884815056535,0.9134241702224574
1468.0276389233084,24.54406078973581,150.6027300125617,0.9134229222499296
1468.0552778466167,24.545212946394724,150.61686964596578,0.9134216742772521
1468.082916769925,24.546355997311192,150.6308981866838,0.9134204263044217
1468.1754238044712,24.55012120229051,150.6771127617885,0.9134162493582856
1468.2679308390173,24.553787384449947,150.72211873019336,0.9134120724104791
1468.3604378735633,24.557352864081412,150.7658949227519,0.9134078954609676
1468.4529449081094,24.56081730496974,150.80843667202524,0.9134037185097389
1468.7460150294771,24.57113096836208,150.93511926610051,0.9133904855630769
1468.8171606545427,24.573483032776075,150.96401709053342,0.9133872731338458
1468.8883062796083,24.575776400305365,150.99219641945155,0.9133840607035975
1468.9344173876987,24.57723150625559,151.0100771280206,0.9133819786534793
1468.9607069696817,24.578065663240544,151.02032793664097,0.9133807916024983
1468.9869965516648,24.57892254967948,151.0308584257856,0.9133796045513786
1469.0,24.57935663766326,151.03619318036024,0.9133790174077995
1469.0130034483352,24.579668743412423,151.04002888397142,0.9133784429030352
1469.0260068966704,24.57998812771624,151.04395408966784,0.9133778683982375
1469.0390103450056,24.58031493983387,151.04797063535503,0.9133772938934062
1469.0852982265003,24.581533706887345,151.06294984570968,0.9133752488501102
1469.131586107995,24.58284420336529,151.07905728173262,0.9133732038063951
1469.1778739894896,24.584248036340302,151.0963128780755,0.9133711587622529
1469.2241618709843,24.58574565292591,151.11472232759135,0.9133691137176807
1469.357513169327,24.590582951583677,151.17419247467944,0.9133632221224839
1469.4908644676696,24.596193685547355,151.2431859542399,0.9133573305237139
1469.6242157660122,24.602573701827286,151.3216581884609,0.9133514389213706
1469.7575670643548,24.60971872918692,151.40956398242338,0.913345547315454
1470.0,24.62465493268922,151.5934076385039,0.9133348363545836
1470.0003778266737,24.62467544871381,151.59366023862216,0.9133348201117699
1470.0007556533474,24.62469597071298,151.59391291251202,0.913334803868956
1470.001133480021,24.624716498812607,151.59416566172345,0.9133347876261422
1470.002583271791,24.624795321374243,151.5951361548937,0.9133347252994204
1470.004033063561,24.62487423184938,151.5961077335999,0.9133346629726983
1470.0054828553311,24.62495323181226,151.59708041723528,0.9133346006459756
1470.0069326471012,24.62503232181568,151.59805421261674,0.9133345383192526
1470.0099231124875,24.625195744149526,151.60006635941997,0.9133344097587834
1470.0129135778739,24.625359550241093,151.60208324466257,0.9133342811983126
1470.0159040432602,24.62552373991707,151.60410486630482,0.9133341526378401
1470.0188945086466,24.625688312966417,151.6061312218427,0.9133340240773655
1470.021884974033,24.62585326930777,151.60816231036904,0.9133338955168894
1470.0250900432352,24.626030488874697,151.61034440974655,0.9133337577305667
1470.0282951124375,24.62620814866472,151.61253194534015,0.9133336199442417
1470.0315001816398,24.62638624862637,151.61472491663352,0.9133334821579148
1470.034705250842,24.6265647886987,151.61692332299367,0.9133333443715859
1470.0379103200444,24.62674376882055,151.61912716378544,0.9133332065852547
1470.0427423698873,24.62701443582809,151.6224600056213,0.913332998854816
