Reynolds_Number,Drag_Coefficient
1446548.021,0.913387145
1446548.021,0.913387145
1446548.021,0.913387145
1446548.021,0.913387145
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440055.481,0.909587582
1440552.561,0.909242402
1440552.561,0.909242402
1440552.561,0.909242402
1440552.561,0.909242402
1440552.561,0.909242402
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1465835.315,0.895427914
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1475478.962,0.886710312
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1485122.61,0.87816137
1478551.682,0.874612888
1478551.682,0.874612888
1478551.682,0.874612888
1478551.682,0.874612888
1478551.682,0.874612888
1478551.682,0.874612888
